,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level,Customer_ID
46,148,54,1710.3900000000006,1,3,4,134,8,BIG SPENDER,12405.0
47,21,105,3415.300000000001,3,4,4,344,11,BIG SPENDER,12406.0
48,49,77,1708.1199999999997,3,3,4,334,10,BIG SPENDER,12407.0
49,32,105,2888.5500000000006,3,4,4,344,11,BIG SPENDER,12408.0
50,78,109,11072.670000000002,2,4,4,244,10,BIG SPENDER,12409.0
51,308,26,693.3299999999999,1,2,3,123,6,LOST,12410.0
52,74,61,1226.8799999999999,2,3,3,233,8,REGULARS,12412.0
53,66,38,758.0999999999999,2,2,3,223,7,REGULARS,12413.0
54,216,18,562.41,1,2,2,122,5,LOST,12414.0
56,2,192,3649.1,4,4,4,444,12,STARS,12417.0
57,112,34,668.5799999999997,2,2,3,223,7,REGULARS,12418.0
58,63,29,600.3900000000001,2,2,2,222,6,REGULARS,12420.0
59,15,45,807.0400000000002,4,3,3,433,10,ACTIVE,12421.0
60,95,39,803.5599999999998,2,2,3,223,7,REGULARS,12422.0
61,0,125,1859.3100000000002,4,4,4,444,12,STARS,12423.0
62,162,30,1760.9599999999998,1,2,4,124,7,BIG SPENDER,12424.0
63,77,36,777.1999999999999,2,2,3,223,7,REGULARS,12425.0
64,194,30,582.7299999999999,1,2,2,122,5,LOST,12426.0
65,21,31,825.8000000000002,3,2,3,323,8,REGULARS,12427.0
66,25,294,7956.460000000004,3,4,4,344,11,BIG SPENDER,12428.0
67,8,97,3750.400000000001,4,4,4,444,12,STARS,12429.0
68,42,11,256.4,3,1,1,311,5,LIGHT,12430.0
69,35,235,6487.449999999999,3,4,4,344,11,BIG SPENDER,12431.0
70,42,108,5059.3200000000015,3,4,4,344,11,BIG SPENDER,12432.0
71,0,420,13375.869999999992,4,4,4,444,12,STARS,12433.0
72,84,50,806.14,2,3,3,233,8,REGULARS,12434.0
73,79,36,7829.889999999998,2,2,4,224,8,BIG SPENDER,12435.0
74,99,16,509.01000000000005,2,1,2,212,5,REGULARS,12436.0
75,1,199,4951.409999999997,4,4,4,444,12,STARS,12437.0
76,13,98,2906.8500000000004,4,4,4,444,12,STARS,12438.0
77,366,11,173.55,1,1,1,111,3,LOST,12441.0
78,2,12,172.06,4,1,1,411,6,NEW,12442.0
79,20,176,5005.46,3,4,4,344,11,BIG SPENDER,12444.0
80,21,4,133.4,3,1,1,311,5,LIGHT,12445.0
81,57,57,1002.3099999999998,2,3,3,233,8,REGULARS,12446.0
82,242,26,476.49,1,2,2,122,5,LOST,12447.0
83,43,22,449.4500000000001,3,2,2,322,7,REGULARS,12448.0
84,21,191,4067.2900000000013,3,4,4,344,11,BIG SPENDER,12449.0
85,155,8,197.88,1,1,1,111,3,LOST,12450.0
86,10,354,9035.519999999999,4,4,4,444,12,STARS,12451.0
87,16,22,430.57000000000005,4,2,2,422,8,ACTIVE,12452.0
88,133,43,707.0899999999999,2,3,3,233,8,REGULARS,12453.0
89,55,15,3528.34,2,1,4,214,7,BIG SPENDER,12454.0
90,72,90,2466.859999999997,2,3,4,234,9,BIG SPENDER,12455.0
91,43,125,3181.039999999998,3,4,4,344,11,BIG SPENDER,12456.0
92,65,62,2363.2299999999996,2,3,4,234,9,BIG SPENDER,12457.0
93,70,38,947.4000000000001,2,2,3,223,7,REGULARS,12458.0
94,93,35,826.8800000000001,2,2,3,223,7,REGULARS,12461.0
95,18,62,1189.5900000000001,4,3,3,433,10,ACTIVE,12462.0
96,52,83,1344.7799999999997,2,3,3,233,8,REGULARS,12463.0
97,9,29,1212.0499999999997,4,2,3,423,9,ACTIVE,12464.0
98,16,47,742.1900000000002,4,3,3,433,10,ACTIVE,12465.0
99,187,38,729.54,1,2,3,123,6,LOST,12468.0
101,31,339,6572.110000000003,3,4,4,344,11,BIG SPENDER,12472.0
102,28,168,3938.55,3,4,4,344,11,BIG SPENDER,12473.0
103,16,424,7375.789999999998,4,4,4,444,12,STARS,12474.0
104,53,36,723.38,2,2,3,223,7,REGULARS,12475.0
105,15,233,6816.420000000005,4,4,4,444,12,STARS,12476.0
106,22,300,13219.73999999999,3,4,4,344,11,BIG SPENDER,12477.0
107,3,36,680.9900000000002,4,2,3,423,9,ACTIVE,12478.0
108,10,31,527.2,4,2,2,422,8,ACTIVE,12479.0
109,27,154,3281.6300000000015,3,4,4,344,11,BIG SPENDER,12480.0
110,22,217,5596.320000000002,3,4,4,344,11,BIG SPENDER,12481.0
111,16,75,2484.980000000001,4,3,4,434,11,BIG SPENDER,12483.0
112,32,346,4541.720000000001,3,4,4,344,11,BIG SPENDER,12484.0
113,9,55,1298.6599999999999,4,3,3,433,10,ACTIVE,12488.0
114,335,15,334.92999999999995,1,1,2,112,4,LOST,12489.0
115,4,245,5417.9299999999985,4,4,4,444,12,STARS,12490.0
116,38,26,460.4000000000001,3,2,2,322,7,REGULARS,12491.0
117,62,20,263.21,2,2,1,221,5,LIGHT,12492.0
118,165,22,433.74,1,2,2,122,5,LOST,12493.0
119,15,77,1246.1000000000006,4,3,3,433,10,ACTIVE,12494.0
120,81,14,1043.1,2,1,3,213,6,REGULARS,12497.0
121,20,23,403.7,3,2,2,322,7,REGULARS,12498.0
122,22,61,4257.820000000001,3,3,4,334,10,BIG SPENDER,12500.0
123,336,149,2169.3899999999994,1,4,4,144,9,BIG SPENDER,12501.0
124,95,147,3723.87,2,4,4,244,10,BIG SPENDER,12502.0
125,17,9,482.04999999999995,4,1,2,412,7,ACTIVE,12504.0
126,232,23,73.50000000000003,1,2,1,121,4,LOST,12506.0
127,133,21,1304.81,2,2,3,223,7,REGULARS,12507.0
128,25,69,398.27000000000004,3,3,2,332,8,REGULARS,12508.0
129,283,7,176.5,1,1,1,111,3,LOST,12509.0
130,142,33,982.57,2,2,3,223,7,REGULARS,12510.0
131,65,34,138.03000000000006,2,2,1,221,5,LIGHT,12512.0
132,112,35,612.2900000000001,2,2,2,222,6,REGULARS,12513.0
133,266,51,1017.6800000000002,1,3,3,133,7,LOST,12514.0
134,352,16,383.7,1,1,2,112,4,LOST,12515.0
135,77,26,1312.06,2,2,3,223,7,REGULARS,12516.0
136,27,284,2502.8399999999983,3,4,4,344,11,BIG SPENDER,12517.0
137,0,124,2056.8899999999994,4,4,4,444,12,STARS,12518.0
138,63,18,340.84,2,2,2,222,6,REGULARS,12519.0
139,78,152,2634.26,2,4,4,244,10,BIG SPENDER,12520.0
140,142,38,599.6800000000001,2,2,2,222,6,REGULARS,12521.0
141,38,12,192.72000000000003,3,1,1,311,5,LIGHT,12522.0
142,18,106,1789.7700000000007,4,4,4,444,12,STARS,12523.0
143,8,144,4485.719999999999,4,4,4,444,12,STARS,12524.0
144,0,71,1316.6600000000005,4,3,3,433,10,ACTIVE,12526.0
145,81,18,348.71000000000004,2,2,2,222,6,REGULARS,12527.0
146,8,92,1933.4800000000007,4,3,4,434,11,BIG SPENDER,12528.0
147,59,66,1662.2799999999993,2,3,4,234,9,BIG SPENDER,12530.0
148,14,17,125.22,4,1,1,411,6,NEW,12531.0
149,29,16,349.83,3,1,2,312,6,REGULARS,12532.0
150,130,63,1089.18,2,3,3,233,8,REGULARS,12534.0
151,91,34,716.3500000000001,2,2,3,223,7,REGULARS,12535.0
152,42,261,12601.830000000005,3,4,4,344,11,BIG SPENDER,12536.0
153,28,21,363.95,3,2,2,322,7,REGULARS,12538.0
154,21,273,5568.349999999995,3,4,4,344,11,BIG SPENDER,12539.0
155,19,478,13400.23999999999,3,4,4,344,11,BIG SPENDER,12540.0
156,29,52,981.1800000000002,3,3,3,333,9,REGULARS,12541.0
157,35,19,372.7,3,2,2,322,7,REGULARS,12544.0
158,74,50,1000.3899999999999,2,3,3,233,8,REGULARS,12545.0
159,46,69,1161.5,3,3,3,333,9,REGULARS,12546.0
160,197,8,207.8,1,1,1,111,3,LOST,12547.0
161,165,5,95.19999999999999,1,1,1,111,3,LOST,12548.0
162,78,57,964.8299999999994,2,3,3,233,8,REGULARS,12550.0
163,357,10,168.0,1,1,1,111,3,LOST,12551.0
164,38,20,437.81999999999994,3,2,2,322,7,REGULARS,12552.0
165,7,191,3692.280000000001,4,4,4,444,12,STARS,12553.0
166,49,121,603.7099999999997,3,4,2,342,9,LOYAL,12556.0
167,15,33,11990.96,4,2,4,424,10,BIG SPENDER,12557.0
168,7,11,269.96000000000004,4,1,1,411,6,NEW,12558.0
169,310,21,561.7099999999999,1,2,2,122,5,LOST,12559.0
170,4,105,2134.01,4,4,4,444,12,STARS,12560.0
171,302,16,238.85,1,1,1,111,3,LOST,12561.0
172,7,168,3781.7400000000025,4,4,4,444,12,STARS,12562.0
173,260,21,456.9000000000001,1,2,2,122,5,LOST,12564.0
174,288,9,145.92,1,1,1,111,3,LOST,12565.0
175,85,19,351.65000000000003,2,2,2,222,6,REGULARS,12566.0
176,22,446,9401.279999999993,3,4,4,344,11,BIG SPENDER,12567.0
177,1,188,4124.69,4,4,4,444,12,STARS,12569.0
178,39,34,519.6099999999999,3,2,2,322,7,REGULARS,12571.0
179,8,60,1020.4200000000003,4,3,3,433,10,ACTIVE,12572.0
180,226,28,160.54,1,2,1,121,4,LOST,12573.0
181,315,11,218.45000000000002,1,1,1,111,3,LOST,12574.0
182,35,88,1315.8299999999997,3,3,3,333,9,REGULARS,12576.0
183,34,147,657.8000000000003,3,4,3,343,10,LOYAL,12577.0
184,20,114,2794.5099999999993,3,4,4,344,11,BIG SPENDER,12578.0
185,77,29,440.41999999999996,2,2,2,222,6,REGULARS,12579.0
186,246,24,415.7,1,2,2,122,5,LOST,12580.0
187,39,15,197.70999999999998,3,1,1,311,5,LIGHT,12581.0
188,238,22,511.3599999999999,1,2,2,122,5,LOST,12582.0
189,2,247,7281.379999999993,4,4,4,444,12,STARS,12583.0
190,3,96,2338.1499999999996,4,3,4,434,11,BIG SPENDER,12584.0
191,233,87,2040.099999999999,1,3,4,134,8,BIG SPENDER,12585.0
192,16,11,196.94,4,1,1,411,6,NEW,12586.0
193,7,4,144.0,4,1,1,411,6,NEW,12587.0
194,38,10,214.9,3,1,1,311,5,LIGHT,12588.0
195,28,35,646.6800000000001,3,2,2,322,7,REGULARS,12589.0
196,210,68,9864.260000000004,1,3,4,134,8,BIG SPENDER,12590.0
197,316,26,452.84999999999985,1,2,2,122,5,LOST,12591.0
198,91,18,437.59999999999997,2,2,2,222,6,REGULARS,12592.0
199,108,21,418.09999999999997,2,2,2,222,6,REGULARS,12593.0
200,37,118,3338.2199999999984,3,4,4,344,11,BIG SPENDER,12594.0
201,50,27,618.27,3,2,2,322,7,REGULARS,12596.0
202,18,206,3811.2200000000016,4,4,4,444,12,STARS,12597.0
203,9,132,3023.079999999999,4,4,4,444,12,STARS,12598.0
204,28,62,1032.5800000000006,3,3,3,333,9,REGULARS,12599.0
205,28,64,2599.0400000000004,3,3,4,334,10,BIG SPENDER,12600.0
206,189,28,577.0600000000001,1,2,2,122,5,LOST,12601.0
207,58,12,153.12000000000003,2,1,1,211,4,LIGHT,12602.0
208,21,2,739.1999999999999,3,1,3,313,7,REGULARS,12603.0
209,78,16,254.17999999999995,2,1,1,211,4,LIGHT,12604.0
210,59,101,1579.51,2,4,4,244,10,BIG SPENDER,12607.0
211,77,60,1126.8500000000001,2,3,3,233,8,REGULARS,12609.0
212,22,106,2099.540000000001,3,4,4,344,11,BIG SPENDER,12610.0
213,51,65,1193.32,3,3,3,333,9,REGULARS,12611.0
214,73,19,704.0400000000001,2,2,3,223,7,REGULARS,12612.0
215,56,153,3344.3799999999983,2,4,4,244,10,BIG SPENDER,12613.0
216,277,20,315.59999999999997,1,2,2,122,5,LOST,12614.0
217,1,105,2291.1900000000005,4,4,4,444,12,STARS,12615.0
218,94,32,713.3,2,2,3,223,7,REGULARS,12616.0
219,28,42,355.5300000000002,3,3,2,332,8,REGULARS,12617.0
220,21,11,177.31,3,1,1,311,5,LIGHT,12618.0
221,15,90,3641.2400000000002,4,3,4,434,11,BIG SPENDER,12619.0
222,14,92,1339.4099999999999,4,3,3,433,10,ACTIVE,12620.0
223,1,467,13689.67,4,4,4,444,12,STARS,12621.0
224,231,11,180.09999999999997,1,1,1,111,3,LOST,12622.0
225,275,18,305.1,1,2,2,122,5,LOST,12623.0
226,105,38,641.1300000000001,2,2,2,222,6,REGULARS,12624.0
227,211,86,2683.8199999999997,1,3,4,134,8,BIG SPENDER,12625.0
228,22,294,6620.479999999998,3,4,4,344,11,BIG SPENDER,12626.0
229,10,230,4478.53,4,4,4,444,12,STARS,12627.0
230,3,41,786.4599999999998,4,3,3,433,10,ACTIVE,12628.0
231,9,64,1270.8799999999999,4,3,3,433,10,ACTIVE,12630.0
232,56,31,640.5000000000002,2,2,2,222,6,REGULARS,12631.0
233,58,101,2163.9799999999996,2,4,4,244,10,BIG SPENDER,12633.0
234,89,101,1689.18,2,4,4,244,10,BIG SPENDER,12635.0
235,66,390,6021.900000000001,2,4,4,244,10,BIG SPENDER,12637.0
236,32,39,671.69,3,2,3,323,8,REGULARS,12638.0
237,238,22,486.1,1,2,2,122,5,LOST,12639.0
238,23,53,1174.58,3,3,3,333,9,REGULARS,12640.0
239,114,10,185.9,2,1,1,211,4,LIGHT,12641.0
240,24,47,1013.26,3,3,3,333,9,REGULARS,12642.0
241,127,24,3344.6400000000003,2,2,4,224,8,BIG SPENDER,12643.0
242,129,31,477.9100000000001,2,2,2,222,6,REGULARS,12644.0
243,33,73,1775.1800000000005,3,3,4,334,10,BIG SPENDER,12645.0
244,4,45,1346.9700000000003,4,3,3,433,10,ACTIVE,12646.0
245,21,121,3722.820000000001,3,4,4,344,11,BIG SPENDER,12647.0
246,154,21,318.05,1,2,2,122,5,LOST,12648.0
247,106,31,623.5099999999999,2,2,2,222,6,REGULARS,12649.0
248,2,20,314.44,4,2,2,422,8,ACTIVE,12650.0
249,334,9,114.00000000000003,1,1,1,111,3,LOST,12651.0
250,330,48,919.9799999999998,1,3,3,133,7,LOST,12652.0
251,148,43,2209.8500000000004,1,3,4,134,8,BIG SPENDER,12653.0
252,10,38,601.98,4,2,2,422,8,ACTIVE,12654.0
253,16,126,4051.170000000002,4,4,4,444,12,STARS,12656.0
254,10,47,1643.18,4,3,4,434,11,BIG SPENDER,12657.0
255,18,36,686.0500000000001,4,2,3,423,9,ACTIVE,12658.0
256,29,5,91.68,3,1,1,311,5,LIGHT,12659.0
257,10,13,245.10000000000002,4,1,1,411,6,NEW,12660.0
258,0,230,3849.7799999999984,4,4,4,444,12,STARS,12662.0
259,7,37,4881.879999999999,4,2,4,424,10,BIG SPENDER,12664.0
260,324,3,63.0,1,1,1,111,3,LOST,12665.0
261,57,33,620.13,2,2,2,222,6,REGULARS,12667.0
262,11,161,3807.150000000002,4,4,4,444,12,STARS,12668.0
263,150,101,2744.0300000000007,1,4,4,144,9,BIG SPENDER,12669.0
264,9,92,2996.0500000000006,4,3,4,434,11,BIG SPENDER,12670.0
265,329,10,225.9,1,1,1,111,3,LOST,12672.0
266,4,42,610.52,4,3,2,432,9,ACTIVE,12673.0
267,38,83,1970.6000000000006,3,3,4,334,10,BIG SPENDER,12674.0
268,24,45,1331.3900000000006,3,3,3,333,9,REGULARS,12676.0
270,58,48,1113.0200000000002,2,3,3,233,8,REGULARS,12679.0
271,0,52,862.81,4,3,3,433,10,ACTIVE,12680.0
272,14,638,13787.54,4,4,4,444,12,STARS,12681.0
273,3,525,12288.219999999998,4,4,4,444,12,STARS,12682.0
274,3,344,8476.569999999998,4,4,4,444,12,STARS,12683.0
275,7,105,2283.6299999999997,4,4,4,444,12,STARS,12684.0
276,27,157,2863.0800000000004,3,4,4,344,11,BIG SPENDER,12685.0
277,371,7,89.14,1,1,1,111,3,LOST,12686.0
278,113,171,4873.810000000005,2,4,4,244,10,BIG SPENDER,12688.0
279,25,72,1247.61,3,3,3,333,9,REGULARS,12689.0
280,205,16,389.00999999999993,1,1,2,112,4,LOST,12690.0
281,27,32,1035.8,3,2,3,323,8,REGULARS,12691.0
282,126,39,855.9099999999997,2,2,3,223,7,REGULARS,12693.0
283,69,37,869.6699999999998,2,2,3,223,7,REGULARS,12694.0
284,6,27,582.1,4,2,2,422,8,ACTIVE,12695.0
285,28,41,957.5899999999999,3,3,3,333,9,REGULARS,12697.0
286,7,268,4939.990000000006,4,4,4,444,12,STARS,12700.0
287,79,53,797.7099999999999,2,3,3,233,8,REGULARS,12701.0
288,19,12,219.0,3,1,1,311,5,LIGHT,12702.0
289,70,21,283.54999999999995,2,2,1,221,5,LIGHT,12703.0
290,6,88,2340.84,4,3,4,434,11,BIG SPENDER,12704.0
291,14,334,6868.290000000003,4,4,4,444,12,STARS,12705.0
292,291,33,603.42,1,2,2,122,5,LOST,12707.0
293,29,157,2712.9100000000008,3,4,4,344,11,BIG SPENDER,12708.0
294,14,208,9736.519999999991,4,4,4,444,12,STARS,12709.0
295,96,77,1149.0200000000007,2,3,3,233,8,REGULARS,12710.0
296,28,133,4396.129999999999,3,4,4,344,11,BIG SPENDER,12712.0
297,0,38,848.5499999999998,4,2,3,423,9,ACTIVE,12713.0
298,8,259,4708.859999999994,4,4,4,444,12,STARS,12714.0
299,105,21,353.85999999999996,2,2,2,222,6,REGULARS,12715.0
300,3,69,1053.4899999999996,4,3,3,433,10,ACTIVE,12716.0
301,150,55,1030.98,1,3,3,133,7,LOST,12717.0
302,70,19,238.25000000000003,2,2,1,221,5,LIGHT,12718.0
303,4,39,644.9499999999999,4,2,2,422,8,ACTIVE,12719.0
304,2,354,5781.730000000001,4,4,4,444,12,STARS,12720.0
305,31,161,2656.130000000001,3,4,4,344,11,BIG SPENDER,12721.0
306,84,53,997.6299999999999,2,3,3,233,8,REGULARS,12722.0
307,3,69,725.0699999999998,4,3,3,433,10,ACTIVE,12723.0
308,4,53,1031.4099999999999,4,3,3,433,10,ACTIVE,12724.0
309,370,24,427.79999999999995,1,2,2,122,5,LOST,12725.0
310,27,124,2609.1000000000004,3,4,4,344,11,BIG SPENDER,12726.0
311,10,139,3980.7000000000003,4,4,4,444,12,STARS,12727.0
312,70,46,836.3299999999999,2,3,3,233,8,REGULARS,12728.0
313,113,26,453.0100000000001,2,2,2,222,6,REGULARS,12729.0
315,179,12,236.2600000000001,1,1,1,111,3,LOST,12732.0
316,233,22,383.95,1,2,2,122,5,LOST,12733.0
317,352,4,110.39999999999999,1,1,1,111,3,LOST,12734.0
318,314,43,779.5699999999998,1,3,3,133,7,LOST,12735.0
319,332,4,234.00000000000003,1,1,1,111,3,LOST,12736.0
320,371,11,155.35,1,1,1,111,3,LOST,12738.0
321,77,38,1013.0400000000001,2,2,3,223,7,REGULARS,12739.0
322,63,27,427.5999999999999,2,2,2,222,6,REGULARS,12740.0
323,133,134,546.4299999999997,2,4,2,242,8,LOYAL,12743.0
325,1,103,4196.010000000001,4,4,4,444,12,STARS,12747.0
327,3,199,4090.880000000001,4,4,4,444,12,STARS,12749.0
328,128,15,275.88,2,1,1,211,4,LIGHT,12750.0
329,80,53,4366.779999999999,2,3,4,234,9,BIG SPENDER,12752.0
331,235,63,3010.74,1,3,4,134,8,BIG SPENDER,12754.0
332,280,4,3811.9499999999994,1,1,4,114,6,BIG SPENDER,12755.0
333,86,4,112.08000000000001,2,1,1,211,4,LIGHT,12756.0
334,15,371,7857.099999999999,4,4,4,444,12,STARS,12757.0
335,116,97,2791.590000000001,2,4,4,244,10,BIG SPENDER,12758.0
336,51,95,1531.4400000000007,3,3,3,333,9,REGULARS,12759.0
337,7,69,1898.5200000000004,4,3,4,434,11,BIG SPENDER,12762.0
338,137,18,494.08,2,2,2,222,6,REGULARS,12763.0
339,316,45,1693.8800000000003,1,3,4,134,8,BIG SPENDER,12764.0
340,3,310,6989.629999999999,4,4,4,444,12,STARS,12766.0
341,238,32,1143.6000000000001,1,2,3,123,6,LOST,12769.0
342,210,12,1351.4499999999998,1,1,3,113,5,LOST,12770.0
343,59,55,892.4700000000004,2,3,3,233,8,REGULARS,12772.0
344,16,66,1386.0400000000004,4,3,3,433,10,ACTIVE,12775.0
345,19,50,822.2300000000001,3,3,3,333,9,REGULARS,12778.0
346,37,149,3981.360000000003,3,4,4,344,11,BIG SPENDER,12779.0
347,63,25,826.7400000000001,2,2,3,223,7,REGULARS,12781.0
348,4,103,2330.9200000000014,4,4,4,444,12,STARS,12782.0
349,1,84,2225.91,4,3,4,434,11,BIG SPENDER,12783.0
350,8,59,574.42,4,3,2,432,9,ACTIVE,12784.0
351,363,14,311.95,1,1,2,112,4,LOST,12785.0
352,9,20,463.65999999999997,4,2,2,422,8,ACTIVE,12787.0
353,64,4,91.85000000000001,2,1,1,211,4,LIGHT,12789.0
354,191,21,324.9200000000001,1,2,2,122,5,LOST,12790.0
355,373,2,192.60000000000002,1,1,1,111,3,LOST,12791.0
356,256,25,400.54,1,2,2,122,5,LOST,12792.0
357,334,24,545.48,1,2,2,122,5,LOST,12793.0
358,52,45,860.4099999999999,2,3,3,233,8,REGULARS,12794.0
359,18,14,430.4800000000001,4,1,2,412,7,ACTIVE,12795.0
360,365,13,254.03,1,1,1,111,3,LOST,12797.0
361,9,8,6977.039999999999,4,1,4,414,9,BIG SPENDER,12798.0
362,186,25,427.5799999999999,1,2,2,122,5,LOST,12802.0
363,36,28,483.65000000000015,3,2,2,322,7,REGULARS,12808.0
364,177,25,489.31,1,2,2,122,5,LOST,12809.0
365,260,31,514.85,1,2,2,122,5,LOST,12811.0
366,44,15,229.63999999999993,3,1,1,311,5,LIGHT,12812.0
367,101,2,125.92,2,1,1,211,4,LIGHT,12814.0
368,147,47,1063.46,1,3,3,133,7,LOST,12815.0
369,95,29,572.2,2,2,2,222,6,REGULARS,12816.0
370,280,4,166.04,1,1,1,111,3,LOST,12817.0
371,261,14,1542.08,1,1,3,113,5,LOST,12818.0
372,2,59,942.3399999999999,4,3,3,433,10,ACTIVE,12820.0
373,213,6,92.72,1,1,1,111,3,LOST,12821.0
374,70,46,948.8799999999999,2,3,3,233,8,REGULARS,12822.0
375,74,5,1759.5,2,1,4,214,7,BIG SPENDER,12823.0
376,59,25,397.11999999999995,2,2,2,222,6,REGULARS,12824.0
377,2,91,1474.7199999999993,4,3,3,433,10,ACTIVE,12826.0
378,5,25,430.15,4,2,2,422,8,ACTIVE,12827.0
379,2,56,1018.7100000000003,4,3,3,433,10,ACTIVE,12828.0
380,336,11,293.0,1,1,1,111,3,LOST,12829.0
381,37,38,6814.640000000001,3,2,4,324,9,BIG SPENDER,12830.0
382,261,9,215.05,1,1,1,111,3,LOST,12831.0
383,31,27,383.03000000000003,3,2,2,322,7,REGULARS,12832.0
384,144,24,417.37999999999994,2,2,2,222,6,REGULARS,12833.0
385,282,18,312.38,1,2,2,122,5,LOST,12834.0
386,58,175,2612.8599999999988,2,4,4,244,10,BIG SPENDER,12836.0
387,172,12,134.1,1,1,1,111,3,LOST,12837.0
388,33,123,683.1299999999994,3,4,3,343,10,LOYAL,12838.0
389,2,314,5591.420000000003,4,4,4,444,12,STARS,12839.0
390,143,113,2726.769999999999,2,4,4,244,10,BIG SPENDER,12840.0
391,4,420,4022.3499999999967,4,4,4,444,12,STARS,12841.0
392,69,34,1118.99,2,2,3,223,7,REGULARS,12842.0
393,65,103,1702.26,2,4,4,244,10,BIG SPENDER,12843.0
394,28,52,325.9599999999999,3,3,2,332,8,REGULARS,12844.0
395,266,27,354.09000000000003,1,2,2,122,5,LOST,12845.0
396,21,91,871.5399999999998,3,3,3,333,9,REGULARS,12847.0
397,30,51,1050.8899999999999,3,3,3,333,9,REGULARS,12849.0
398,96,50,135.17999999999995,2,3,1,231,6,LIGHT,12851.0
399,294,17,311.54999999999995,1,1,2,112,4,LOST,12852.0
400,134,78,1957.1,2,3,4,234,9,BIG SPENDER,12853.0
401,78,110,1324.5000000000007,2,4,3,243,9,LOYAL,12854.0
402,372,3,38.1,1,1,1,111,3,LOST,12855.0
403,7,314,2179.9300000000007,4,4,4,444,12,STARS,12856.0
404,210,46,1106.4000000000003,1,3,3,133,7,LOST,12857.0
405,51,5,521.2,3,1,2,312,6,REGULARS,12863.0
406,137,3,147.12,2,1,1,211,4,LIGHT,12864.0
407,25,95,1568.229999999999,3,3,3,333,9,REGULARS,12865.0
408,282,26,559.1199999999999,1,2,2,122,5,LOST,12866.0
409,25,538,4036.819999999996,3,4,4,344,11,BIG SPENDER,12867.0
410,185,107,1607.0600000000009,1,4,4,144,9,BIG SPENDER,12868.0
411,83,11,380.64000000000004,2,1,2,212,5,REGULARS,12871.0
412,326,66,599.9699999999998,1,3,2,132,6,LOST,12872.0
